grafana  | ✔ Downloaded and extracted grafana-opensearch-datasource v2.24.0 zip successfully to /var/lib/grafana/plugins/grafana-opensearch-datasource
grafana  | 
grafana  | Please restart Grafana after installing or removing plugins. Refer to Grafana documentation for instructions if necessary.
grafana  | 
grafana  | logger=settings t=2025-04-11T12:35:47.576481877Z level=info msg="Starting Grafana" version=11.5.2 commit=598e0338d5374d6bc404b02a58094132c5eeceb8 branch=HEAD compiled=2025-04-11T12:35:47Z
grafana  | logger=settings t=2025-04-11T12:35:47.577868919Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana  | logger=settings t=2025-04-11T12:35:47.577901086Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana  | logger=settings t=2025-04-11T12:35:47.577908211Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana  | logger=settings t=2025-04-11T12:35:47.577912211Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana  | logger=settings t=2025-04-11T12:35:47.577917002Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana  | logger=settings t=2025-04-11T12:35:47.577919336Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana  | logger=settings t=2025-04-11T12:35:47.577925211Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
grafana  | logger=settings t=2025-04-11T12:35:47.577928336Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
grafana  | logger=settings t=2025-04-11T12:35:47.577934294Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
grafana  | logger=settings t=2025-04-11T12:35:47.577938419Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
grafana  | logger=settings t=2025-04-11T12:35:47.577942544Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
grafana  | logger=settings t=2025-04-11T12:35:47.577951794Z level=info msg=Target target=[all]
grafana  | logger=settings t=2025-04-11T12:35:47.577973461Z level=info msg="Path Home" path=/usr/share/grafana
grafana  | logger=settings t=2025-04-11T12:35:47.577977211Z level=info msg="Path Data" path=/var/lib/grafana
grafana  | logger=settings t=2025-04-11T12:35:47.577982377Z level=info msg="Path Logs" path=/var/log/grafana
grafana  | logger=settings t=2025-04-11T12:35:47.577991294Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
grafana  | logger=settings t=2025-04-11T12:35:47.577999669Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
grafana  | logger=settings t=2025-04-11T12:35:47.578004211Z level=info msg="App mode production"
grafana  | logger=featuremgmt t=2025-04-11T12:35:47.580878794Z level=info msg=FeatureToggles exploreMetrics=true transformationsVariableSupport=true useSessionStorageForRedirection=true newFiltersUI=true angularDeprecationUI=true correlations=true logsInfiniteScrolling=true lokiQueryHints=true dataplaneFrontendFallback=true managedPluginsInstall=true transformationsRedesign=true onPremToCloudMigrations=true addFieldFromCalculationStatFunctions=true preinstallAutoUpdate=true pinNavItems=true newPDFRendering=true zipkinBackendMigration=true annotationPermissionUpdate=true alertingNoDataErrorExecution=true recoveryThreshold=true lokiQuerySplitting=true openSearchBackendFlowEnabled=true nestedFolders=true cloudWatchCrossAccountQuerying=true dashboardSceneForViewers=true unifiedRequestLog=true lokiStructuredMetadata=true alertingApiServer=true logRowsPopoverMenu=true publicDashboardsScene=true alertingUIOptimizeReducer=true formatString=true panelMonitoring=true recordedQueriesMulti=true ssoSettingsApi=true accessControlOnCall=true promQLScope=true dashboardSceneSolo=true tlsMemcached=true cloudWatchRoundUpEndTime=true influxdbBackendMigration=true newDashboardSharingComponent=true prometheusAzureOverrideAudience=true azureMonitorEnableUserAuth=true dashboardScene=true accessActionSets=true cloudWatchNewLabelParsing=true alertingSimplifiedRouting=true logsExploreTableVisualisation=true alertingInsights=true lokiLabelNamesQueryApi=true dashgpt=true logsContextDatasourceUi=true awsAsyncQueryCaching=true reportingUseRawTimeRange=true userStorageAPI=true kubernetesPlaylists=true groupToNestedTableTransformation=true
grafana  | logger=sqlstore t=2025-04-11T12:35:47.581348169Z level=info msg="Connecting to DB" dbtype=sqlite3
grafana  | logger=sqlstore t=2025-04-11T12:35:47.581556461Z level=info msg="Creating SQLite database file" path=/var/lib/grafana/grafana.db
grafana  | logger=migrator t=2025-04-11T12:35:47.610828544Z level=info msg="Locking database"
grafana  | logger=migrator t=2025-04-11T12:35:47.610872419Z level=info msg="Starting DB migrations"
grafana  | logger=migrator t=2025-04-11T12:35:47.613268211Z level=info msg="Executing migration" id="create migration_log table"
grafana  | logger=migrator t=2025-04-11T12:35:47.659408586Z level=info msg="Migration successfully executed" id="create migration_log table" duration=46.137083ms
grafana  | logger=migrator t=2025-04-11T12:35:47.686004169Z level=info msg="Executing migration" id="create user table"
grafana  | logger=migrator t=2025-04-11T12:35:47.698562544Z level=info msg="Migration successfully executed" id="create user table" duration=12.557ms
grafana  | logger=migrator t=2025-04-11T12:35:47.731300627Z level=info msg="Executing migration" id="add unique index user.login"
grafana  | logger=migrator t=2025-04-11T12:35:47.741392044Z level=info msg="Migration successfully executed" id="add unique index user.login" duration=10.089791ms
grafana  | logger=migrator t=2025-04-11T12:35:47.769465544Z level=info msg="Executing migration" id="add unique index user.email"
grafana  | logger=migrator t=2025-04-11T12:35:47.779334628Z level=info msg="Migration successfully executed" id="add unique index user.email" duration=9.867333ms
grafana  | logger=migrator t=2025-04-11T12:35:47.807670836Z level=info msg="Executing migration" id="drop index UQE_user_login - v1"
grafana  | logger=migrator t=2025-04-11T12:35:47.826217586Z level=info msg="Migration successfully executed" id="drop index UQE_user_login - v1" duration=18.554209ms
grafana  | logger=migrator t=2025-04-11T12:35:47.852987544Z level=info msg="Executing migration" id="drop index UQE_user_email - v1"
grafana  | logger=migrator t=2025-04-11T12:35:47.879256669Z level=info msg="Migration successfully executed" id="drop index UQE_user_email - v1" duration=26.267959ms
grafana  | logger=migrator t=2025-04-11T12:35:47.911235503Z level=info msg="Executing migration" id="Rename table user to user_v1 - v1"
grafana  | logger=migrator t=2025-04-11T12:35:47.923788419Z level=info msg="Migration successfully executed" id="Rename table user to user_v1 - v1" duration=12.553375ms
grafana  | logger=migrator t=2025-04-11T12:35:47.949401419Z level=info msg="Executing migration" id="create user table v2"
grafana  | logger=migrator t=2025-04-11T12:35:47.967476544Z level=info msg="Migration successfully executed" id="create user table v2" duration=18.072834ms
grafana  | logger=migrator t=2025-04-11T12:35:48.000379169Z level=info msg="Executing migration" id="create index UQE_user_login - v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.021461378Z level=info msg="Migration successfully executed" id="create index UQE_user_login - v2" duration=21.079833ms
grafana  | logger=migrator t=2025-04-11T12:35:48.051570128Z level=info msg="Executing migration" id="create index UQE_user_email - v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.061496378Z level=info msg="Migration successfully executed" id="create index UQE_user_email - v2" duration=9.925083ms
grafana  | logger=migrator t=2025-04-11T12:35:48.091497253Z level=info msg="Executing migration" id="copy data_source v1 to v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.101189586Z level=info msg="Migration successfully executed" id="copy data_source v1 to v2" duration=9.693417ms
grafana  | logger=migrator t=2025-04-11T12:35:48.127680336Z level=info msg="Executing migration" id="Drop old table user_v1"
grafana  | logger=migrator t=2025-04-11T12:35:48.147368669Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=19.694416ms
grafana  | logger=migrator t=2025-04-11T12:35:48.180695836Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
grafana  | logger=migrator t=2025-04-11T12:35:48.194663794Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=13.979834ms
grafana  | logger=migrator t=2025-04-11T12:35:48.218643961Z level=info msg="Executing migration" id="Update user table charset"
grafana  | logger=migrator t=2025-04-11T12:35:48.218675503Z level=info msg="Migration successfully executed" id="Update user table charset" duration=33.333µs
grafana  | logger=migrator t=2025-04-11T12:35:48.252755503Z level=info msg="Executing migration" id="Add last_seen_at column to user"
grafana  | logger=migrator t=2025-04-11T12:35:48.263505919Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=10.749459ms
grafana  | logger=migrator t=2025-04-11T12:35:48.287765836Z level=info msg="Executing migration" id="Add missing user data"
grafana  | logger=migrator t=2025-04-11T12:35:48.288122628Z level=info msg="Migration successfully executed" id="Add missing user data" duration=357.791µs
grafana  | logger=migrator t=2025-04-11T12:35:48.322732211Z level=info msg="Executing migration" id="Add is_disabled column to user"
grafana  | logger=migrator t=2025-04-11T12:35:48.333486753Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=10.753375ms
grafana  | logger=migrator t=2025-04-11T12:35:48.357769794Z level=info msg="Executing migration" id="Add index user.login/user.email"
grafana  | logger=migrator t=2025-04-11T12:35:48.378382128Z level=info msg="Migration successfully executed" id="Add index user.login/user.email" duration=20.610917ms
grafana  | logger=migrator t=2025-04-11T12:35:48.404772919Z level=info msg="Executing migration" id="Add is_service_account column to user"
grafana  | logger=migrator t=2025-04-11T12:35:48.416060503Z level=info msg="Migration successfully executed" id="Add is_service_account column to user" duration=11.287ms
grafana  | logger=migrator t=2025-04-11T12:35:48.442820628Z level=info msg="Executing migration" id="Update is_service_account column to nullable"
grafana  | logger=migrator t=2025-04-11T12:35:48.456033711Z level=info msg="Migration successfully executed" id="Update is_service_account column to nullable" duration=13.212083ms
grafana  | logger=migrator t=2025-04-11T12:35:48.480865003Z level=info msg="Executing migration" id="Add uid column to user"
grafana  | logger=migrator t=2025-04-11T12:35:48.491507836Z level=info msg="Migration successfully executed" id="Add uid column to user" duration=10.643542ms
grafana  | logger=migrator t=2025-04-11T12:35:48.512357878Z level=info msg="Executing migration" id="Update uid column values for users"
