otel-collector  | 2025-04-11T12:35:55.391Z	info	service@v0.120.0/service.go:193	Setting up own telemetry...
otel-collector  | 2025-04-11T12:35:55.395Z	info	builders/builders.go:26	Development component. May change in the future.	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces"}
otel-collector  | 2025-04-11T12:35:55.396Z	info	builders/builders.go:26	Development component. May change in the future.	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics"}
otel-collector  | 2025-04-11T12:35:55.398Z	info	memorylimiter@v0.120.0/memorylimiter.go:151	Using percentage memory limiter	{"otelcol.component.kind": "Processor", "total_memory_mib": 200, "limit_percentage": 80, "spike_limit_percentage": 25}
otel-collector  | 2025-04-11T12:35:55.400Z	info	memorylimiter@v0.120.0/memorylimiter.go:75	Memory limiter configured	{"otelcol.component.kind": "Processor", "limit_mib": 160, "spike_limit_mib": 50, "check_interval": 5}
otel-collector  | 2025-04-11T12:35:55.400Z	info	spanmetricsconnector@v0.120.1/connector.go:110	Building spanmetrics connector	{"otelcol.component.id": "spanmetrics", "otelcol.component.kind": "Connector", "otelcol.signal": "traces", "otelcol.signal.output": "metrics"}
otel-collector  | 2025-04-11T12:35:55.403Z	info	ottl@v0.120.1/parser_collection.go:364	one or more statements were modified to include their paths context, please rewrite them accordingly	{"otelcol.component.id": "transform", "otelcol.component.kind": "Processor", "otelcol.pipeline.id": "traces", "otelcol.signal": "traces", "statements": {"[0]": {"original": "replace_pattern(name, \"\\\\?.*\", \"\")", "modified": "replace_pattern(span.name, \"\\\\?.*\", \"\")"}, "[1]": {"original": "replace_match(name, \"GET /api/products/*\", \"GET /api/products/{productId}\")", "modified": "replace_match(span.name, \"GET /api/products/*\", \"GET /api/products/{productId}\")"}}}
otel-collector  | 2025-04-11T12:35:55.406Z	info	builders/builders.go:26	Development component. May change in the future.	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs"}
otel-collector  | 2025-04-11T12:35:55.406Z	info	builders/builders.go:26	Unmaintained component. Actively looking for contributors. Component will become deprecated after 3 months of remaining unmaintained.	{"otelcol.component.id": "opensearch", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs"}
otel-collector  | 2025-04-11T12:35:55.412Z	info	service@v0.120.0/service.go:258	Starting otelcol-contrib...	{"Version": "0.120.1", "NumCPU": 11}
otel-collector  | 2025-04-11T12:35:55.412Z	info	extensions/extensions.go:40	Starting extensions...
otel-collector  | 2025-04-11T12:35:55.419Z	info	spanmetricsconnector@v0.120.1/connector.go:204	Starting spanmetrics connector	{"otelcol.component.id": "spanmetrics", "otelcol.component.kind": "Connector", "otelcol.signal": "traces", "otelcol.signal.output": "metrics"}
otel-collector  | 2025-04-11T12:35:55.420Z	info	otlpreceiver@v0.120.0/otlp.go:116	Starting GRPC server	{"otelcol.component.id": "otlp", "otelcol.component.kind": "Receiver", "endpoint": "otel-collector:4317"}
otel-collector  | 2025-04-11T12:35:55.425Z	info	otlpreceiver@v0.120.0/otlp.go:173	Starting HTTP server	{"otelcol.component.id": "otlp", "otelcol.component.kind": "Receiver", "endpoint": "otel-collector:4318"}
otel-collector  | 2025-04-11T12:35:56.185Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 4}
otel-collector  | 2025-04-11T12:35:56.453Z	error	scraperhelper@v0.120.0/obs_metrics.go:61	Error scraping metrics	{"otelcol.component.id": "hostmetrics", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "error": "failed to read usage at /hostfs/oldroot: no such file or directory"}
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.wrapObsMetrics.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/obs_metrics.go:61
otel-collector  | go.opentelemetry.io/collector/scraper.ScrapeMetricsFunc.ScrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper@v0.120.0/metrics.go:24
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.scrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:256
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.NewMetricsController.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:228
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.(*controller[...]).startScraping.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:171
otel-collector  | 2025-04-11T12:35:56.620Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 242, "metrics": 764, "data points": 1477}
otel-collector  | 2025-04-11T12:35:57.270Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 105}
otel-collector  | 2025-04-11T12:35:58.295Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 32}
otel-collector  | 2025-04-11T12:35:58.447Z	info	service@v0.120.0/service.go:281	Everything is ready. Begin running and processing data.
otel-collector  | 2025-04-11T12:35:58.702Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 2}
otel-collector  | 2025-04-11T12:36:00.351Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 59}
otel-collector  | 2025-04-11T12:36:00.807Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 6}
otel-collector  | 2025-04-11T12:36:01.371Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 2, "log records": 453}
otel-collector  | 2025-04-11T12:36:01.518Z	error	docker@v0.120.1/docker.go:194	Could not parse docker containerStats for container id	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "id": "c63777f547ce5fc94ea30ea0917c1caddf9f45ae18d416952a3d44e3fe8639ad", "error": "context canceled"}
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).toStatsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:194
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).FetchContainerStatsAsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:144
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver.(*metricsReceiver).scrapeV2.func1
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver@v0.120.1/receiver.go:89
otel-collector  | 2025-04-11T12:36:01.539Z	error	docker@v0.120.1/docker.go:194	Could not parse docker containerStats for container id	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "id": "0a898b3a6ccec36bb33ae1332b8ed276fe81b51b414391d7d937f394ba8bbfa8", "error": "context canceled"}
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).toStatsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:194
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).FetchContainerStatsAsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:144
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver.(*metricsReceiver).scrapeV2.func1
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver@v0.120.1/receiver.go:89
otel-collector  | 2025-04-11T12:36:01.554Z	error	scraperhelper@v0.120.0/obs_metrics.go:61	Error scraping metrics	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "error": "context canceled; context canceled", "errorCauses": [{"error": "context canceled"}, {"error": "context canceled"}]}
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.wrapObsMetrics.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/obs_metrics.go:61
otel-collector  | go.opentelemetry.io/collector/scraper.ScrapeMetricsFunc.ScrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper@v0.120.0/metrics.go:24
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.scrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:256
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.NewMetricsController.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:228
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.(*controller[...]).startScraping.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:171
otel-collector  | 2025-04-11T12:36:01.648Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 23, "metrics": 299, "data points": 326}
otel-collector  | 2025-04-11T12:36:02.048Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 3, "spans": 15}
otel-collector  | 2025-04-11T12:36:02.249Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 3, "spans": 11}
otel-collector  | 2025-04-11T12:36:02.428Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 1}
otel-collector  | 2025-04-11T12:36:02.450Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 6, "spans": 30}
otel-collector  | 2025-04-11T12:36:02.651Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 6}
otel-collector  | 2025-04-11T12:36:02.719Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 6, "log records": 33}
otel-collector  | 2025-04-11T12:36:02.852Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 30}
otel-collector  | 2025-04-11T12:36:03.256Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 6, "spans": 30}
otel-collector  | 2025-04-11T12:36:03.458Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 8, "spans": 36}
otel-collector  | 2025-04-11T12:36:03.538Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 2, "log records": 19}
otel-collector  | 2025-04-11T12:36:03.860Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 5, "spans": 25}
