prometheus  | time=2025-04-11T12:35:44.023Z level=INFO source=main.go:225 msg="Experimental in-memory exemplar storage enabled"
prometheus  | time=2025-04-11T12:35:44.025Z level=INFO source=main.go:687 msg="Starting Prometheus Server" mode=server version="(version=3.2.0, branch=HEAD, revision=bf7ec404b2a4933a81b0ffe2baba32b92d471655)"
prometheus  | time=2025-04-11T12:35:44.025Z level=INFO source=main.go:692 msg="operational information" build_context="(go=go1.23.6, platform=linux/arm64, user=root@793dd0d4a527, date=20250217-18:46:05, tags=netgo,builtinassets,stringlabels)" host_details="(Linux 6.12.5-linuxkit #1 SMP Tue Jan 21 10:23:32 UTC 2025 aarch64 78b772d7b6c2 (none))" fd_limits="(soft=1048576, hard=1048576)" vm_limits="(soft=unlimited, hard=unlimited)"
prometheus  | time=2025-04-11T12:35:44.031Z level=INFO source=main.go:768 msg="Leaving GOMAXPROCS=11: CPU quota undefined" component=automaxprocs
prometheus  | time=2025-04-11T12:35:44.035Z level=INFO source=web.go:654 msg="Start listening for connections" component=web address=0.0.0.0:9090
prometheus  | time=2025-04-11T12:35:44.036Z level=INFO source=main.go:1228 msg="Starting TSDB ..."
prometheus  | time=2025-04-11T12:35:44.039Z level=INFO source=tls_config.go:347 msg="Listening on" component=web address=[::]:9090
prometheus  | time=2025-04-11T12:35:44.039Z level=INFO source=tls_config.go:350 msg="TLS is disabled." component=web http2=false address=[::]:9090
prometheus  | time=2025-04-11T12:35:44.051Z level=INFO source=head.go:628 msg="Replaying on-disk memory mappable chunks if any" component=tsdb
prometheus  | time=2025-04-11T12:35:44.054Z level=INFO source=head.go:715 msg="On-disk memory mappable chunks replay completed" component=tsdb duration=29.708µs
prometheus  | time=2025-04-11T12:35:44.054Z level=INFO source=head.go:723 msg="Replaying WAL, this may take a while" component=tsdb
prometheus  | time=2025-04-11T12:35:44.056Z level=INFO source=head.go:795 msg="WAL segment loaded" component=tsdb segment=0 maxSegment=0
prometheus  | time=2025-04-11T12:35:44.056Z level=INFO source=head.go:823 msg="WBL segment loaded" component=tsdb segment=0 maxSegment=0
prometheus  | time=2025-04-11T12:35:44.056Z level=INFO source=head.go:832 msg="WAL replay completed" component=tsdb checkpoint_replay_duration=51.417µs wal_replay_duration=2.205208ms wbl_replay_duration=63.916µs chunk_snapshot_load_duration=0s mmap_chunk_replay_duration=29.708µs total_replay_duration=2.367958ms
prometheus  | time=2025-04-11T12:35:44.057Z level=INFO source=main.go:1249 msg="filesystem information" fs_type=EXT4_SUPER_MAGIC
prometheus  | time=2025-04-11T12:35:44.057Z level=INFO source=main.go:1252 msg="TSDB started"
prometheus  | time=2025-04-11T12:35:44.057Z level=INFO source=main.go:1437 msg="Loading configuration file" filename=/etc/prometheus/prometheus-config.yaml
